TotalPurchase,CustomerAge,CustomerBday,FirstOrderMonths,FirstOrderDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
30.0000,38,1983-06-05,80,2019-07-30,S,50001-75000,F,2,"Bachelors ",Skilled Manual,0,1
53.9900,41,1980-09-24,80,2019-07-30,M,0-25000,F,2,High School,Manual,1,0
0.6700,49,1972-05-20,80,2019-07-30,S,50001-75000,M,2,Partial High School,Skilled Manual,0,2
114.9900,30,1991-06-20,80,2019-07-30,S,50001-75000,M,0,Partial College,Skilled Manual,0,1
69.9900,39,1982-04-06,80,2019-07-30,S,greater than 100000,M,0,Graduate Degree,Management,0,0
91.0200,45,1977-01-09,80,2019-07-30,M,0-25000,M,1,Graduate Degree,Clerical,1,0
22.7000,28,1994-03-23,80,2019-07-30,M,50001-75000,F,0,Partial College,Skilled Manual,0,1
21.9600,64,1957-08-12,80,2019-07-30,S,75001-100000,F,5,"Bachelors ",Management,1,2
98.0200,27,1994-09-11,80,2019-07-30,S,25001-50000,F,0,Partial College,Skilled Manual,1,1
9.5100,57,1964-11-14,80,2019-07-30,S,greater than 100000,M,4,Partial College,Management,0,3
20.0100,50,1972-02-27,80,2019-07-30,M,25001-50000,M,2,High School,Skilled Manual,1,2
2.7000,29,1992-04-09,80,2019-07-30,S,25001-50000,M,0,Partial High School,Clerical,0,2
4.9900,34,1987-11-10,80,2019-07-30,M,50001-75000,M,1,Graduate Degree,Skilled Manual,1,0
5.0000,41,1980-04-03,80,2019-07-30,M,75001-100000,M,5,Partial College,Professional,1,3
90.0200,27,1994-09-07,80,2019-07-30,S,0-25000,F,5,High School,Manual,1,2
2.7000,47,1974-04-08,80,2019-07-30,M,75001-100000,F,1,"Bachelors ",Management,1,3
2.7000,33,1988-11-05,80,2019-07-30,M,75001-100000,M,0,"Bachelors ",Professional,1,3
69.9900,46,1975-07-28,80,2019-07-30,M,75001-100000,M,4,High School,Professional,1,2
16.9800,40,1982-01-18,80,2019-07-30,M,0-25000,M,1,Partial College,Manual,1,1
19.5000,52,1969-11-13,80,2019-07-29,M,75001-100000,M,3,High School,Professional,1,3
19.2000,41,1980-05-27,80,2019-07-29,S,50001-75000,F,3,"Bachelors ",Professional,0,1
60.9800,46,1975-09-26,80,2019-07-29,S,0-25000,M,1,Partial College,Manual,0,0
16.0000,40,1981-05-16,80,2019-07-29,S,greater than 100000,M,0,"Bachelors ",Management,0,1
4.0000,32,1989-06-01,80,2019-07-29,M,0-25000,F,0,Partial High School,Manual,0,2
1.9700,55,1966-09-25,80,2019-07-29,M,0-25000,M,2,Partial College,Manual,1,1
32.6900,30,1991-06-09,80,2019-07-29,S,25001-50000,F,0,Partial College,Clerical,1,1
30.0000,59,1963-03-25,80,2019-07-29,S,50001-75000,F,2,Partial College,Professional,1,1
17.5000,69,1952-06-06,80,2019-07-29,S,0-25000,F,1,Graduate Degree,Clerical,0,0
22.7000,44,1978-02-27,80,2019-07-29,S,50001-75000,M,0,"Bachelors ",Professional,0,1
2.7000,48,1973-11-13,80,2019-07-29,S,75001-100000,M,1,"Bachelors ",Management,0,4
4.9900,42,1979-05-13,80,2019-07-29,S,75001-100000,F,5,Partial College,Professional,1,0
29.9900,41,1980-07-25,80,2019-07-29,S,25001-50000,F,0,"Bachelors ",Professional,0,1
16.9800,45,1976-09-16,80,2019-07-29,M,50001-75000,M,5,Partial College,Professional,1,3
5.0100,49,1972-05-08,80,2019-07-29,M,greater than 100000,F,2,High School,Professional,1,4
2.7000,30,1992-03-16,80,2019-07-29,M,25001-50000,F,0,Partial College,Clerical,0,1
45.0000,42,1979-10-19,80,2019-07-29,M,50001-75000,M,4,"Bachelors ",Professional,0,2
1.6000,66,1955-10-15,80,2019-07-29,S,50001-75000,F,3,"Bachelors ",Management,1,2
31.6900,28,1993-04-16,80,2019-07-29,S,0-25000,F,0,High School,Manual,0,1
30.0000,52,1969-09-26,80,2019-07-29,S,greater than 100000,M,3,High School,Professional,0,0
19.0200,62,1959-07-19,80,2019-07-28,S,50001-75000,F,4,"Bachelors ",Management,1,2
45.5000,47,1974-06-23,80,2019-07-28,M,50001-75000,F,5,"Bachelors ",Professional,1,1
21.4900,34,1988-01-11,80,2019-07-28,S,0-25000,F,0,Partial High School,Manual,1,2
30.0000,73,1948-05-18,80,2019-07-28,S,greater than 100000,M,0,Graduate Degree,Management,0,4
35.9800,29,1992-06-20,80,2019-07-28,S,25001-50000,F,0,High School,Skilled Manual,0,2
14.4900,71,1951-02-22,80,2019-07-28,S,25001-50000,F,2,Graduate Degree,Management,0,2
21.4900,42,1979-07-26,80,2019-07-28,S,50001-75000,M,0,"Bachelors ",Professional,0,1
22.7000,31,1990-08-18,80,2019-07-28,S,25001-50000,F,0,High School,Skilled Manual,0,2
6.0100,73,1948-09-19,80,2019-07-28,M,25001-50000,M,1,"Bachelors ",Skilled Manual,1,1
9.4900,35,1986-06-23,80,2019-07-28,S,0-25000,M,0,Partial High School,Manual,0,2
92.1100,44,1978-03-23,80,2019-07-28,M,25001-50000,M,2,Partial College,Clerical,1,2
19.6900,37,1984-11-20,80,2019-07-28,M,50001-75000,F,1,Graduate Degree,Professional,1,0
4.9900,49,1972-05-17,80,2019-07-28,M,25001-50000,M,2,High School,Skilled Manual,0,2
61.0000,37,1985-03-09,80,2019-07-28,S,greater than 100000,M,5,High School,Management,1,4
19.5000,39,1983-01-05,80,2019-07-28,S,25001-50000,F,1,"Bachelors ",Clerical,1,0
20.0100,58,1963-12-05,80,2019-07-28,S,50001-75000,F,2,Partial College,Professional,1,1
24.0000,42,1980-03-05,80,2019-07-28,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,2
4.9900,43,1979-01-21,80,2019-07-28,S,0-25000,M,3,High School,Manual,1,0
15.0200,31,1990-08-26,80,2019-07-27,S,25001-50000,F,3,Partial College,Clerical,1,1
108.9700,34,1988-03-22,80,2019-07-27,S,25001-50000,M,1,Graduate Degree,Skilled Manual,1,0
2.9600,48,1974-03-13,80,2019-07-27,M,75001-100000,F,5,"Bachelors ",Professional,1,1
23.1900,30,1991-11-10,80,2019-07-27,S,0-25000,M,0,Partial High School,Manual,0,1
4.9900,34,1987-08-08,80,2019-07-27,S,25001-50000,M,1,Graduate Degree,Skilled Manual,1,0
4.9900,61,1961-02-04,80,2019-07-27,M,50001-75000,F,4,"Bachelors ",Management,1,2
28.0100,45,1976-10-23,80,2019-07-27,M,75001-100000,F,4,High School,Professional,1,2
25.0000,65,1957-01-04,80,2019-07-27,S,25001-50000,F,4,"Bachelors ",Management,1,2
2.7000,36,1985-10-27,80,2019-07-27,M,25001-50000,M,1,"Bachelors ",Skilled Manual,1,0
1.0100,69,1953-03-02,80,2019-07-27,S,50001-75000,M,3,Graduate Degree,Management,1,2
132.0300,37,1984-05-11,80,2019-07-27,M,50001-75000,F,1,Graduate Degree,Professional,1,0
18.9800,29,1992-06-07,80,2019-07-27,S,50001-75000,F,0,Partial College,Skilled Manual,0,2
34.3000,54,1967-07-19,80,2019-07-27,S,50001-75000,F,2,Partial High School,Skilled Manual,1,2
21.9800,51,1970-04-18,80,2019-07-27,S,75001-100000,F,5,Graduate Degree,Skilled Manual,1,0
19.9900,50,1971-10-28,80,2019-07-27,M,25001-50000,F,2,High School,Skilled Manual,0,2
20.0000,48,1973-10-22,80,2019-07-27,M,25001-50000,M,2,Partial College,Clerical,1,1
21.9800,52,1969-09-24,80,2019-07-27,M,75001-100000,F,3,High School,Professional,1,3
25.4800,63,1958-09-12,80,2019-07-27,M,75001-100000,M,5,"Bachelors ",Management,1,2
6.0100,41,1980-10-13,80,2019-07-27,M,25001-50000,M,1,"Bachelors ",Skilled Manual,1,0
31.6900,56,1965-06-25,80,2019-07-27,S,50001-75000,M,4,Partial College,Professional,1,1
9.9900,48,1974-02-21,80,2019-07-27,M,50001-75000,M,4,Graduate Degree,Skilled Manual,1,0
4.9900,48,1973-09-25,80,2019-07-27,S,75001-100000,F,4,Graduate Degree,Skilled Manual,1,0
4.0000,37,1985-01-26,80,2019-07-26,M,75001-100000,F,4,Graduate Degree,Management,0,1
69.9900,50,1972-03-27,80,2019-07-26,S,50001-75000,M,2,Partial High School,Skilled Manual,1,2
1.0100,43,1978-06-02,80,2019-07-26,M,25001-50000,M,2,Partial College,Clerical,1,2
50.0000,36,1985-04-20,80,2019-07-26,S,50001-75000,F,2,Graduate Degree,Professional,1,0
26.6900,55,1966-09-09,80,2019-07-26,S,50001-75000,F,2,Partial College,Professional,1,2
13.0000,54,1968-02-11,80,2019-07-26,M,75001-100000,F,3,"Bachelors ",Management,1,4
32.6000,35,1987-03-22,80,2019-07-26,M,25001-50000,M,1,Graduate Degree,Skilled Manual,1,0
1.0200,29,1993-02-02,80,2019-07-26,S,25001-50000,F,0,Partial College,Skilled Manual,1,1
33.5100,60,1961-08-04,80,2019-07-26,M,25001-50000,M,5,High School,Professional,1,3
72.4700,41,1980-07-14,80,2019-07-26,M,75001-100000,F,5,"Bachelors ",Professional,0,4
53.9900,51,1971-03-12,80,2019-07-26,M,25001-50000,M,2,High School,Skilled Manual,1,2
25.0000,40,1981-05-27,80,2019-07-26,M,50001-75000,M,3,"Bachelors ",Skilled Manual,1,0
27.0300,47,1974-12-20,80,2019-07-26,M,50001-75000,M,4,Graduate Degree,Skilled Manual,1,0
61.0000,29,1993-03-24,80,2019-07-25,S,25001-50000,M,0,Partial College,Skilled Manual,0,1
27.7000,51,1970-06-21,80,2019-07-25,S,75001-100000,M,2,Partial High School,Skilled Manual,1,2
2.7000,26,1995-09-15,80,2019-07-25,M,25001-50000,F,0,High School,Skilled Manual,1,2
26.6900,63,1958-06-06,80,2019-07-25,S,50001-75000,F,4,"Bachelors ",Management,1,2
30.0000,53,1968-05-18,80,2019-07-25,M,50001-75000,M,4,Partial College,Professional,1,1
4.9900,72,1950-02-02,80,2019-07-25,S,25001-50000,F,3,Partial College,Professional,1,2
24.9900,29,1993-02-14,80,2019-07-25,S,25001-50000,M,0,Partial College,Skilled Manual,0,1
19.2000,47,1975-03-27,80,2019-07-25,S,0-25000,F,1,High School,Manual,0,1
27.7000,34,1987-11-21,80,2019-07-25,S,0-25000,M,0,Partial High School,Manual,0,2
31.0000,62,1959-10-24,80,2019-07-25,M,50001-75000,M,5,High School,Professional,1,2
110.9900,77,1944-07-03,80,2019-07-25,M,0-25000,F,2,Partial College,Clerical,0,2
2.7000,45,1976-07-07,80,2019-07-25,M,75001-100000,F,5,Partial College,Professional,1,3
1.6000,71,1950-08-15,80,2019-07-25,M,25001-50000,F,2,Graduate Degree,Management,1,2
4.0000,49,1972-11-04,80,2019-07-25,M,50001-75000,F,2,High School,Professional,0,2
22.7000,42,1979-06-18,80,2019-07-25,S,greater than 100000,M,2,Graduate Degree,Management,0,2
49.0000,58,1963-09-27,80,2019-07-25,M,0-25000,F,4,High School,Skilled Manual,1,2
69.9900,54,1967-08-04,80,2019-07-25,M,25001-50000,F,3,Partial College,Professional,0,2
4.9900,52,1970-03-24,80,2019-07-25,S,greater than 100000,F,3,Partial High School,Professional,1,4
69.9900,60,1962-01-25,80,2019-07-25,M,25001-50000,F,2,High School,Professional,0,2
1.0100,58,1964-03-27,80,2019-07-25,S,75001-100000,M,5,High School,Management,1,3
21.0000,43,1978-12-20,80,2019-07-25,S,0-25000,F,3,High School,Manual,1,2
0.5000,29,1992-11-25,80,2019-07-25,S,25001-50000,M,0,Partial College,Skilled Manual,0,1
19.2000,27,1994-08-15,80,2019-07-25,S,25001-50000,F,0,High School,Skilled Manual,1,2
2.7000,38,1983-08-02,80,2019-07-25,M,75001-100000,F,5,"Bachelors ",Professional,1,4
2.7000,56,1965-09-21,80,2019-07-24,M,50001-75000,M,2,Partial College,Professional,1,1
4.0000,60,1961-08-14,80,2019-07-24,M,50001-75000,M,4,"Bachelors ",Management,1,2
5.0000,50,1972-02-05,80,2019-07-24,M,75001-100000,M,2,Partial College,Professional,1,1
97.9400,31,1991-02-26,80,2019-07-24,S,25001-50000,M,0,Partial College,Clerical,0,1
17.5000,50,1972-01-06,80,2019-07-24,M,75001-100000,F,2,Partial College,Professional,1,4
5.0000,41,1981-02-27,80,2019-07-24,S,50001-75000,F,0,Graduate Degree,Professional,0,0
16.0000,36,1986-02-28,80,2019-07-24,S,greater than 100000,M,0,Partial High School,Management,0,4
49.9900,35,1986-09-25,80,2019-07-24,S,0-25000,F,0,Partial High School,Manual,1,2
16.0100,44,1978-02-14,80,2019-07-24,M,50001-75000,M,4,"Bachelors ",Professional,1,2
24.9900,30,1991-04-12,80,2019-07-24,M,25001-50000,M,0,Partial College,Clerical,0,1
24.9900,61,1960-06-10,80,2019-07-24,M,75001-100000,F,2,Graduate Degree,Management,0,4
4.9900,33,1988-07-10,80,2019-07-24,M,25001-50000,M,1,Graduate Degree,Skilled Manual,1,0
110.9900,43,1978-05-09,80,2019-07-24,S,75001-100000,F,0,Partial College,Professional,1,1
0.5000,47,1974-06-23,80,2019-07-24,M,50001-75000,F,5,Graduate Degree,Professional,1,3
65.4800,44,1977-10-28,80,2019-07-23,M,greater than 100000,M,1,"Bachelors ",Management,1,4
14.0100,59,1962-09-20,80,2019-07-23,M,25001-50000,M,2,Partial College,Clerical,0,2
34.3000,38,1983-11-04,80,2019-07-23,M,75001-100000,F,4,Partial College,Skilled Manual,1,3
29.9900,58,1964-03-05,80,2019-07-23,S,75001-100000,M,5,High School,Management,0,3
41.5200,87,1935-02-26,80,2019-07-23,M,0-25000,F,3,"Bachelors ",Clerical,0,2
4.0000,60,1961-05-18,80,2019-07-23,S,greater than 100000,M,3,"Bachelors ",Management,1,4
20.0000,55,1966-06-04,80,2019-07-23,M,75001-100000,M,5,High School,Professional,1,2
21.0000,68,1953-09-11,80,2019-07-23,M,0-25000,M,2,"Bachelors ",Clerical,1,1
19.5000,32,1989-09-13,80,2019-07-23,S,25001-50000,M,3,Partial College,Clerical,0,2
1.0100,58,1963-04-18,80,2019-07-23,M,75001-100000,F,4,Partial High School,Skilled Manual,1,4
41.5200,47,1974-10-11,80,2019-07-23,M,50001-75000,M,4,Graduate Degree,Skilled Manual,1,0
9.5100,28,1993-09-04,80,2019-07-23,S,25001-50000,M,0,Partial High School,Clerical,0,2
4.9900,32,1989-09-06,80,2019-07-23,M,50001-75000,F,0,"Bachelors ",Professional,0,4
19.2000,48,1973-12-05,80,2019-07-23,M,greater than 100000,M,4,"Bachelors ",Management,1,4
1.7000,41,1980-11-06,80,2019-07-23,S,0-25000,F,5,Partial High School,Manual,1,2
5.0000,51,1970-09-09,80,2019-07-23,S,75001-100000,F,2,Partial High School,Skilled Manual,0,2
38.9800,45,1976-06-25,80,2019-07-23,M,25001-50000,F,4,High School,Skilled Manual,1,3
4.0000,37,1984-08-25,80,2019-07-23,M,50001-75000,M,1,Graduate Degree,Professional,1,0
12.9900,61,1960-12-12,80,2019-07-23,M,50001-75000,M,4,"Bachelors ",Management,1,2
16.0000,45,1976-10-16,80,2019-07-23,M,25001-50000,M,4,High School,Skilled Manual,1,3
1.7000,42,1979-06-15,80,2019-07-23,S,25001-50000,M,2,Partial College,Clerical,1,2
9.5100,32,1989-11-03,80,2019-07-23,S,0-25000,F,0,Partial High School,Manual,0,2
5.0100,54,1967-11-24,80,2019-07-22,M,75001-100000,F,4,High School,Professional,1,2
2.7000,51,1970-09-10,80,2019-07-22,S,25001-50000,M,1,High School,Clerical,1,2
4.9900,32,1989-05-20,80,2019-07-22,S,50001-75000,M,0,Partial College,Professional,1,2
29.9900,43,1979-03-07,80,2019-07-22,S,75001-100000,F,0,Partial College,Professional,0,1
28.9900,33,1988-05-19,80,2019-07-22,S,50001-75000,M,0,Partial College,Skilled Manual,0,2
77.5900,37,1984-08-17,80,2019-07-22,M,50001-75000,M,5,Graduate Degree,Professional,1,3
4.0000,31,1990-07-18,80,2019-07-22,M,50001-75000,F,0,"Bachelors ",Professional,0,3
45.5000,27,1994-06-04,80,2019-07-22,S,25001-50000,M,0,Partial High School,Clerical,0,2
14.0300,49,1972-05-22,80,2019-07-22,M,25001-50000,M,1,Partial College,Clerical,1,1
2.7000,46,1976-02-04,81,2019-07-21,S,50001-75000,F,5,Partial College,Skilled Manual,1,2
39.0100,41,1980-09-11,81,2019-07-21,M,25001-50000,M,3,"Bachelors ",Skilled Manual,1,1
28.9900,43,1978-11-26,81,2019-07-21,S,25001-50000,M,2,Partial College,Clerical,0,2
123.2800,60,1961-04-06,81,2019-07-21,M,50001-75000,M,5,"Bachelors ",Management,0,3
69.4800,44,1977-06-18,81,2019-07-21,M,50001-75000,M,5,Partial College,Skilled Manual,1,2
21.5900,59,1962-07-20,81,2019-07-21,M,25001-50000,F,2,High School,Professional,0,2
57.0300,48,1973-04-08,81,2019-07-21,S,75001-100000,F,4,Graduate Degree,Skilled Manual,1,0
29.9900,53,1968-07-04,81,2019-07-21,M,25001-50000,M,3,Partial College,Skilled Manual,0,2
22.7000,40,1981-08-25,81,2019-07-21,M,50001-75000,M,0,Graduate Degree,Professional,1,0
34.9900,51,1970-05-09,81,2019-07-21,M,0-25000,M,2,Partial College,Manual,1,1
0.0100,48,1973-09-05,81,2019-07-21,S,75001-100000,F,4,Graduate Degree,Skilled Manual,0,0
20.0000,29,1993-02-18,81,2019-07-21,S,25001-50000,F,3,Partial College,Clerical,1,2
31.4600,40,1981-04-10,81,2019-07-21,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,2
2.7000,62,1959-10-26,81,2019-07-21,S,50001-75000,F,4,"Bachelors ",Management,1,2
30.0000,28,1993-06-09,81,2019-07-21,M,25001-50000,M,0,Partial College,Skilled Manual,1,1
51.4700,49,1972-12-18,81,2019-07-21,M,50001-75000,M,2,Partial High School,Skilled Manual,0,2
30.0000,27,1994-04-03,81,2019-07-21,M,0-25000,F,4,High School,Manual,1,2
4.0000,35,1986-07-26,81,2019-07-21,S,0-25000,F,0,Partial High School,Manual,0,2
2.7000,57,1965-03-26,81,2019-07-21,M,25001-50000,F,2,Partial High School,Skilled Manual,0,2
27.9700,30,1991-11-21,81,2019-07-21,S,50001-75000,M,0,Partial College,Skilled Manual,0,2
21.0100,62,1959-09-21,81,2019-07-21,M,75001-100000,F,2,Graduate Degree,Management,1,4
21.9800,47,1974-08-16,81,2019-07-20,M,50001-75000,M,4,Graduate Degree,Skilled Manual,1,0
6.9600,40,1981-11-02,81,2019-07-20,M,25001-50000,F,0,"Bachelors ",Professional,0,0
47.0900,54,1967-10-12,81,2019-07-20,M,25001-50000,M,3,Partial College,Professional,1,2
41.0100,30,1991-04-27,81,2019-07-20,S,25001-50000,F,0,Partial College,Clerical,1,1
4.9900,34,1987-08-17,81,2019-07-20,M,greater than 100000,F,4,High School,Management,1,4
45.4800,59,1962-05-04,81,2019-07-20,M,50001-75000,F,2,Partial College,Professional,1,1
18.9800,42,1980-03-28,81,2019-07-20,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,0
5.0000,76,1945-05-27,81,2019-07-20,S,0-25000,F,2,Partial College,Manual,0,1
15.4900,27,1994-08-11,81,2019-07-20,S,25001-50000,F,0,High School,Skilled Manual,1,2
30.0000,46,1975-12-18,81,2019-07-20,M,greater than 100000,F,1,High School,Professional,1,4
27.7000,48,1973-07-18,81,2019-07-20,S,greater than 100000,F,1,Graduate Degree,Management,0,4
24.9900,67,1955-03-10,81,2019-07-20,M,50001-75000,F,3,"Bachelors ",Management,1,2
10.0000,31,1990-05-05,81,2019-07-20,M,25001-50000,F,3,Partial College,Clerical,1,1
45.5000,42,1979-08-04,81,2019-07-20,M,75001-100000,F,5,Partial College,Professional,1,3
22.7000,39,1983-03-25,81,2019-07-20,M,0-25000,F,1,Partial College,Manual,1,0
9.5100,31,1990-11-12,81,2019-07-20,S,0-25000,F,0,Partial High School,Manual,0,1
21.9800,51,1971-03-26,81,2019-07-20,M,25001-50000,M,1,Partial College,Clerical,1,1
18.9800,61,1960-05-19,81,2019-07-20,M,75001-100000,M,2,"Bachelors ",Management,0,4
0.0200,45,1976-11-24,81,2019-07-20,M,75001-100000,M,5,Partial College,Professional,0,3
61.0000,55,1966-09-09,81,2019-07-20,M,75001-100000,F,4,High School,Professional,1,3
21.4900,61,1960-10-25,81,2019-07-20,M,0-25000,M,2,Partial High School,Clerical,1,2
28.0100,46,1975-10-11,81,2019-07-20,S,75001-100000,M,0,Partial College,Professional,1,1
13.0100,40,1982-02-28,81,2019-07-19,S,50001-75000,M,0,Graduate Degree,Professional,1,1
61.0000,61,1960-10-02,81,2019-07-19,M,0-25000,F,2,Partial High School,Clerical,1,2
2.7000,71,1951-04-03,81,2019-07-19,S,25001-50000,F,3,Partial College,Professional,1,2
30.0000,62,1959-04-28,81,2019-07-19,M,75001-100000,M,5,"Bachelors ",Management,1,2
30.0100,28,1993-11-11,81,2019-07-19,M,0-25000,F,0,Partial College,Manual,0,1
32.6900,41,1980-12-06,81,2019-07-19,M,25001-50000,M,1,"Bachelors ",Skilled Manual,1,2
15.4900,69,1952-11-18,81,2019-07-19,S,greater than 100000,F,2,"Bachelors ",Management,0,4
54.9800,39,1982-10-18,81,2019-07-19,M,0-25000,F,1,High School,Manual,1,1
26.0000,53,1968-06-05,81,2019-07-19,S,75001-100000,M,3,"Bachelors ",Management,1,4
52.0300,41,1980-05-13,81,2019-07-19,S,25001-50000,F,3,"Bachelors ",Skilled Manual,0,2
30.0000,29,1992-08-04,81,2019-07-19,S,25001-50000,F,0,Partial High School,Clerical,1,2
5.0000,77,1944-09-20,81,2019-07-19,M,0-25000,F,2,Partial College,Clerical,0,2
2.7000,35,1986-06-16,81,2019-07-19,M,50001-75000,F,1,Graduate Degree,Professional,1,0
30.0000,40,1981-10-08,81,2019-07-19,S,75001-100000,F,0,Graduate Degree,Skilled Manual,0,0
50.9800,36,1986-02-10,81,2019-07-19,S,0-25000,F,0,Partial High School,Manual,0,2
30.0000,46,1975-04-25,81,2019-07-19,M,25001-50000,M,4,High School,Skilled Manual,1,3
25.0000,61,1960-04-24,81,2019-07-19,M,50001-75000,M,5,High School,Professional,1,3
21.9800,47,1974-07-26,81,2019-07-18,M,50001-75000,M,4,"Bachelors ",Professional,1,0
1.6000,60,1961-04-26,81,2019-07-18,S,75001-100000,F,2,"Bachelors ",Management,1,4
20.0100,50,1972-01-21,81,2019-07-18,M,25001-50000,M,2,High School,Skilled Manual,1,2
41.5200,36,1986-03-15,81,2019-07-18,M,50001-75000,M,1,Graduate Degree,Skilled Manual,1,0
4.9900,43,1978-06-19,81,2019-07-18,M,greater than 100000,M,4,"Bachelors ",Management,1,4
9.5100,57,1964-12-21,81,2019-07-18,M,0-25000,F,2,High School,Skilled Manual,1,2
10.4800,27,1994-12-04,81,2019-07-18,M,25001-50000,F,0,High School,Skilled Manual,1,2
3.9900,50,1971-12-26,81,2019-07-18,S,0-25000,M,1,"Bachelors ",Clerical,0,0
30.0000,30,1991-06-05,81,2019-07-18,S,25001-50000,F,0,High School,Skilled Manual,1,2
49.0000,55,1967-02-23,81,2019-07-18,S,50001-75000,F,2,Partial High School,Skilled Manual,1,2
49.0000,29,1992-09-03,81,2019-07-18,S,0-25000,M,0,High School,Manual,1,1
14.4800,52,1970-03-25,81,2019-07-18,S,75001-100000,F,5,Graduate Degree,Skilled Manual,1,0
19.6900,51,1970-10-07,81,2019-07-18,S,greater than 100000,F,2,Partial High School,Professional,1,4
26.0100,53,1968-07-10,81,2019-07-18,S,0-25000,F,2,High School,Manual,1,2
21.4900,70,1951-10-27,81,2019-07-18,S,0-25000,F,1,Graduate Degree,Clerical,1,0
30.0000,37,1984-09-01,81,2019-07-18,M,greater than 100000,M,0,Partial High School,Management,1,4
41.5200,54,1968-02-26,81,2019-07-18,M,greater than 100000,M,5,Partial College,Professional,1,2
23.1900,41,1980-07-19,81,2019-07-18,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,0
