TotalPurchase,DateFirstPurchase,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
4,00:00.0,00:00.0,S,0-25000,F,3,High School,Manual,1,2
26.59,00:00.0,00:00.0,M,25001-50000,M,3,High School,Skilled Manual,0,2
1463.4208,00:00.0,00:00.0,S,50001-75000,F,0,Bachelors ,Professional,0,1
4678.06,00:00.0,00:00.0,M,greater than 100000,M,4,Partial High School,Professional,1,3
4.99,00:00.0,00:00.0,S,0-25000,F,0,Partial High School,Manual,0,2
3042.33,00:00.0,00:00.0,S,0-25000,F,0,Partial High School,Manual,0,2
98.98,00:00.0,00:00.0,S,25001-50000,M,3,Partial College,Clerical,1,2
69.99,00:00.0,00:00.0,M,75001-100000,M,5,Bachelors ,Management,1,2
1868.37,00:00.0,00:00.0,S,25001-50000,M,0,High School,Manual,0,1
2196.9718,00:00.0,00:00.0,S,greater than 100000,F,0,Graduate Degree,Management,0,2
27.6,00:00.0,00:00.0,S,50001-75000,M,5,Partial College,Skilled Manual,1,3
64.29,00:00.0,00:00.0,M,50001-75000,M,5,Partial College,Skilled Manual,1,3
8.02,00:00.0,00:00.0,S,25001-50000,F,0,Bachelors ,Professional,0,1
2593.445,00:00.0,00:00.0,M,greater than 100000,F,4,Partial High School,Professional,1,3
6.37,00:00.0,00:00.0,M,75001-100000,F,0,High School,Management,0,2
4.99,00:00.0,00:00.0,S,25001-50000,F,0,High School,Skilled Manual,1,2
6.01,00:00.0,00:00.0,M,0-25000,F,1,Graduate Degree,Clerical,1,0
4.99,00:00.0,00:00.0,M,50001-75000,M,2,High School,Professional,1,2
649.49,00:00.0,00:00.0,S,50001-75000,F,0,Bachelors ,Professional,1,1
1627.595,00:00.0,00:00.0,M,0-25000,M,2,Partial High School,Clerical,0,2
3.99,00:00.0,00:00.0,M,greater than 100000,F,2,Partial College,Professional,1,3
32.69,00:00.0,00:00.0,M,greater than 100000,M,3,Partial College,Professional,1,4
3.99,00:00.0,00:00.0,S,75001-100000,M,3,High School,Professional,0,3
1674.98,00:00.0,00:00.0,S,75001-100000,M,0,High School,Management,1,2
1085.5,00:00.0,00:00.0,S,25001-50000,F,0,High School,Manual,1,1
30,00:00.0,00:00.0,M,greater than 100000,M,4,High School,Professional,0,3
9.51,00:00.0,00:00.0,M,50001-75000,M,3,Bachelors ,Professional,0,2
544.98,00:00.0,00:00.0,S,25001-50000,F,1,Bachelors ,Clerical,1,0
421.3936,00:00.0,00:00.0,M,25001-50000,F,2,Partial College,Skilled Manual,1,2
2389.0618,00:00.0,00:00.0,M,50001-75000,F,1,Graduate Degree,Skilled Manual,1,0
2071.4192,00:00.0,00:00.0,M,25001-50000,M,3,Partial College,Professional,1,2
543.99,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,0
733.36,00:00.0,00:00.0,M,25001-50000,F,0,Bachelors ,Clerical,1,0
2.7,00:00.0,00:00.0,M,0-25000,M,2,Partial High School,Clerical,1,2
17.5,00:00.0,00:00.0,S,25001-50000,F,0,High School,Skilled Manual,1,2
24.51,00:00.0,00:00.0,S,0-25000,F,3,Partial College,Manual,0,1
1120.49,00:00.0,00:00.0,S,greater than 100000,F,2,High School,Professional,0,2
4.99,00:00.0,00:00.0,M,50001-75000,F,5,High School,Professional,0,2
2447.35,00:00.0,00:00.0,M,greater than 100000,M,2,Bachelors ,Management,1,2
52.03,00:00.0,00:00.0,M,75001-100000,M,0,Bachelors ,Professional,1,3
563.18,00:00.0,00:00.0,S,25001-50000,F,0,Partial College,Clerical,1,1
2071.4192,00:00.0,00:00.0,S,25001-50000,F,0,High School,Manual,1,1
3578.27,00:00.0,00:00.0,M,25001-50000,F,1,High School,Clerical,1,1
743.39,00:00.0,00:00.0,S,75001-100000,M,3,Bachelors ,Skilled Manual,0,1
30,00:00.0,00:00.0,S,greater than 100000,M,2,Partial College,Professional,1,3
53.99,00:00.0,00:00.0,M,25001-50000,M,4,High School,Professional,0,2
2344.06,00:00.0,00:00.0,M,0-25000,F,4,High School,Manual,1,1
1666.0025,00:00.0,00:00.0,S,0-25000,M,0,Partial High School,Manual,0,2
28.53,00:00.0,00:00.0,M,0-25000,M,1,Graduate Degree,Clerical,1,0
1651.0025,00:00.0,00:00.0,S,0-25000,F,3,Partial College,Manual,1,1
28.01,00:00.0,00:00.0,M,75001-100000,M,5,Bachelors ,Management,0,2
98.02,00:00.0,00:00.0,M,75001-100000,F,2,Bachelors ,Professional,1,1
5.01,00:00.0,00:00.0,M,greater than 100000,F,4,Partial College,Professional,0,3
2273.01,00:00.0,00:00.0,M,greater than 100000,M,0,High School,Management,0,4
69.99,00:00.0,00:00.0,M,50001-75000,F,4,Bachelors ,Skilled Manual,1,3
1700.9875,00:00.0,00:00.0,S,0-25000,M,1,Bachelors ,Clerical,1,0
30,00:00.0,00:00.0,M,0-25000,M,3,High School,Manual,0,2
2414.84,00:00.0,00:00.0,M,75001-100000,M,0,High School,Management,1,2
0.5,00:00.0,00:00.0,S,0-25000,M,0,Partial High School,Manual,1,2
1666,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,1
5,00:00.0,00:00.0,S,50001-75000,M,2,Partial College,Professional,1,2
28.99,00:00.0,00:00.0,M,0-25000,F,5,Partial High School,Manual,1,0
5840.5304,00:00.0,00:00.0,S,75001-100000,F,5,Partial College,Professional,0,2
1666,00:00.0,00:00.0,M,25001-50000,F,1,Bachelors ,Skilled Manual,1,1
69.99,00:00.0,00:00.0,M,75001-100000,F,5,Bachelors ,Professional,1,4
3399.99,00:00.0,00:00.0,S,25001-50000,F,1,Bachelors ,Clerical,1,0
918,00:00.0,00:00.0,S,25001-50000,F,4,Partial College,Clerical,1,3
1085.5,00:00.0,00:00.0,S,25001-50000,F,5,High School,Skilled Manual,1,3
1321.525,00:00.0,00:00.0,M,greater than 100000,F,4,Partial High School,Professional,0,3
36.59,00:00.0,00:00.0,S,greater than 100000,F,0,Partial College,Management,1,3
931.98,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,0
4701.77,00:00.0,00:00.0,M,greater than 100000,F,0,High School,Management,1,4
2607.6408,00:00.0,00:00.0,S,greater than 100000,F,5,Partial High School,Professional,1,4
2294.9896,00:00.0,00:00.0,S,0-25000,F,0,Partial High School,Manual,1,2
50.99,00:00.0,00:00.0,S,50001-75000,F,0,Bachelors ,Professional,0,3
3.99,00:00.0,00:00.0,S,25001-50000,F,0,Partial High School,Clerical,1,2
2352.6975,00:00.0,00:00.0,M,25001-50000,F,0,Bachelors ,Professional,1,0
707.36,00:00.0,00:00.0,S,50001-75000,F,0,Partial College,Skilled Manual,1,2
19.2,00:00.0,00:00.0,M,0-25000,F,1,Graduate Degree,Clerical,1,0
12.99,00:00.0,00:00.0,M,25001-50000,F,2,Bachelors ,Management,1,2
1149.76,00:00.0,00:00.0,M,25001-50000,F,1,Bachelors ,Skilled Manual,1,0
1066.5,00:00.0,00:00.0,M,25001-50000,F,2,Bachelors ,Management,1,2
2181.565,00:00.0,00:00.0,M,75001-100000,M,0,Bachelors ,Professional,0,3
4,00:00.0,00:00.0,M,50001-75000,F,2,Partial College,Professional,1,2
98.02,00:00.0,00:00.0,M,greater than 100000,F,2,Graduate Degree,Management,1,3
31,00:00.0,00:00.0,M,0-25000,F,0,Partial High School,Manual,1,2
1.6,00:00.0,00:00.0,M,25001-50000,F,4,Bachelors ,Skilled Manual,1,1
2799.79,00:00.0,00:00.0,S,50001-75000,F,0,Bachelors ,Professional,0,2
738.35,00:00.0,00:00.0,M,50001-75000,F,3,Partial College,Professional,1,0
19.2,00:00.0,00:00.0,S,25001-50000,F,0,Partial College,Clerical,1,1
30,00:00.0,00:00.0,S,75001-100000,F,4,Partial College,Skilled Manual,0,2
30,00:00.0,00:00.0,S,greater than 100000,F,3,Graduate Degree,Management,0,4
3048.81,00:00.0,00:00.0,M,50001-75000,F,5,Partial College,Professional,1,2
61,00:00.0,00:00.0,S,0-25000,F,2,High School,Manual,0,0
4,00:00.0,00:00.0,S,25001-50000,M,2,Partial College,Clerical,1,1
4.99,00:00.0,00:00.0,M,75001-100000,F,0,Bachelors ,Professional,0,3
30,00:00.0,00:00.0,S,50001-75000,F,2,Bachelors ,Skilled Manual,0,1
2349.08,00:00.0,00:00.0,S,25001-50000,F,4,Bachelors ,Management,0,2
1450.8404,00:00.0,00:00.0,S,50001-75000,F,2,Graduate Degree,Management,1,1
45.5,00:00.0,00:00.0,M,50001-75000,F,1,Partial College,Skilled Manual,1,1
749.4775,00:00.0,00:00.0,M,25001-50000,F,0,Bachelors ,Clerical,0,0
13.98,00:00.0,00:00.0,M,25001-50000,F,1,Bachelors ,Skilled Manual,1,0
19.2,00:00.0,00:00.0,S,0-25000,F,1,Partial College,Manual,0,0
69.99,00:00.0,00:00.0,M,50001-75000,F,4,Bachelors ,Management,1,2
1105.1375,00:00.0,00:00.0,M,25001-50000,F,0,Bachelors ,Professional,1,0
543.99,00:00.0,00:00.0,M,0-25000,M,1,Partial College,Manual,0,0
11.01,00:00.0,00:00.0,M,0-25000,F,2,High School,Manual,1,2
421.98,00:00.0,00:00.0,M,25001-50000,F,3,Graduate Degree,Clerical,1,0
4.99,00:00.0,00:00.0,M,0-25000,F,4,High School,Skilled Manual,0,2
30.01,00:00.0,00:00.0,S,25001-50000,F,0,High School,Manual,0,1
1120.49,00:00.0,00:00.0,S,50001-75000,F,0,Graduate Degree,Professional,1,1
0.01,00:00.0,00:00.0,S,greater than 100000,F,0,Graduate Degree,Management,0,3
1258.28,00:00.0,00:00.0,M,25001-50000,F,1,Bachelors ,Skilled Manual,1,0
25,00:00.0,00:00.0,S,0-25000,F,0,High School,Manual,0,1
9263.6618,00:00.0,00:00.0,S,75001-100000,F,2,Partial College,Professional,1,4
1147.18,00:00.0,00:00.0,M,25001-50000,F,1,Partial College,Clerical,1,1
1551.99,00:00.0,00:00.0,S,50001-75000,F,2,Graduate Degree,Professional,1,0
28.99,00:00.0,00:00.0,S,75001-100000,F,3,Bachelors ,Management,0,3
10.48,00:00.0,00:00.0,M,25001-50000,F,3,Partial College,Clerical,1,2
49.99,00:00.0,00:00.0,M,25001-50000,F,4,Graduate Degree,Clerical,1,0
435.445,00:00.0,00:00.0,M,0-25000,F,2,Partial College,Manual,1,1
1066.5,00:00.0,00:00.0,S,25001-50000,F,3,High School,Skilled Manual,1,2
1079.48,00:00.0,00:00.0,S,25001-50000,F,2,Bachelors ,Skilled Manual,1,0
15.49,00:00.0,00:00.0,M,75001-100000,F,5,Graduate Degree,Management,1,3
0.01,00:00.0,00:00.0,M,0-25000,M,1,Graduate Degree,Clerical,1,0
29.99,00:00.0,00:00.0,S,25001-50000,F,2,Partial College,Clerical,1,2
27.97,00:00.0,00:00.0,S,50001-75000,F,0,Bachelors ,Professional,0,1
1616.9,00:00.0,00:00.0,S,0-25000,F,0,Partial High School,Manual,0,2
65.29,00:00.0,00:00.0,S,75001-100000,F,5,Bachelors ,Professional,1,4
4,00:00.0,00:00.0,S,75001-100000,F,0,Bachelors ,Professional,1,3
4.99,00:00.0,00:00.0,S,50001-75000,F,5,Bachelors ,Management,1,2
245.8936,00:00.0,00:00.0,M,0-25000,F,2,Partial College,Manual,1,1
518.9775,00:00.0,00:00.0,M,25001-50000,F,3,High School,Skilled Manual,0,2
26.24,00:00.0,00:00.0,M,25001-50000,F,2,Bachelors ,Management,1,1
337.5,00:00.0,00:00.0,M,75001-100000,F,1,Graduate Degree,Management,1,0
69.99,00:00.0,00:00.0,M,25001-50000,F,1,Graduate Degree,Skilled Manual,1,0
31.69,00:00.0,00:00.0,S,0-25000,F,1,Graduate Degree,Clerical,0,0
2435.3975,00:00.0,00:00.0,S,75001-100000,M,2,High School,Skilled Manual,0,2
5,00:00.0,00:00.0,M,50001-75000,F,5,Graduate Degree,Professional,1,2
160.405,00:00.0,00:00.0,S,50001-75000,F,5,Graduate Degree,Professional,1,0
556.48,00:00.0,00:00.0,M,0-25000,F,0,Partial College,Manual,1,1
1573.97,00:00.0,00:00.0,M,50001-75000,F,5,Graduate Degree,Management,1,2
555.82,00:00.0,00:00.0,M,75001-100000,F,3,Graduate Degree,Professional,1,0
1066.5,00:00.0,00:00.0,M,50001-75000,F,3,Partial College,Professional,1,2
69.99,00:00.0,00:00.0,M,25001-50000,F,3,Partial College,Clerical,0,2
16,00:00.0,00:00.0,M,50001-75000,F,5,Partial College,Skilled Manual,1,3
48.96,00:00.0,00:00.0,M,0-25000,F,2,Partial College,Manual,1,0
1226.31,00:00.0,00:00.0,M,25001-50000,F,1,Partial College,Clerical,1,1
24.33,00:00.0,00:00.0,M,50001-75000,F,5,Bachelors ,Management,1,2
535.99,00:00.0,00:00.0,M,25001-50000,F,3,Partial College,Clerical,0,2
734.5,00:00.0,00:00.0,M,75001-100000,F,2,Bachelors ,Professional,1,0
1120.94,00:00.0,00:00.0,S,50001-75000,F,1,Partial College,Skilled Manual,1,1
61,00:00.0,00:00.0,S,greater than 100000,M,4,Bachelors ,Management,0,4
5,00:00.0,00:00.0,S,75001-100000,F,0,Bachelors ,Professional,1,4
9.51,00:00.0,00:00.0,S,0-25000,F,0,Partial High School,Manual,0,2
29.34,00:00.0,00:00.0,M,50001-75000,F,2,Partial College,Professional,1,1
2384.07,00:00.0,00:00.0,M,25001-50000,F,1,Bachelors ,Clerical,1,0
719.4975,00:00.0,00:00.0,M,0-25000,F,0,Graduate Degree,Manual,1,0
9.97,00:00.0,00:00.0,M,75001-100000,F,4,Partial College,Professional,1,2
3624.8304,00:00.0,00:00.0,M,50001-75000,F,3,Bachelors ,Professional,1,2
32.6,00:00.0,00:00.0,M,25001-50000,F,2,High School,Professional,1,2
505,00:00.0,00:00.0,S,25001-50000,F,2,Partial College,Clerical,0,2
51,00:00.0,00:00.0,S,25001-50000,M,2,Partial College,Clerical,0,2
2408.36,00:00.0,00:00.0,M,25001-50000,F,0,Graduate Degree,Clerical,1,0
366.48,00:00.0,00:00.0,M,75001-100000,F,3,Bachelors ,Professional,1,0
134.035,00:00.0,00:00.0,S,50001-75000,F,1,Partial College,Skilled Manual,1,1
26.31,00:00.0,00:00.0,M,75001-100000,F,0,Bachelors ,Professional,1,2
2443.35,00:00.0,00:00.0,S,25001-50000,F,2,Partial College,Clerical,1,1
4,00:00.0,00:00.0,S,greater than 100000,F,3,Bachelors ,Management,1,4
4.99,00:00.0,00:00.0,S,50001-75000,F,0,Bachelors ,Professional,0,3
819.8736,00:00.0,00:00.0,M,25001-50000,F,1,Bachelors ,Skilled Manual,1,0
918,00:00.0,00:00.0,S,25001-50000,M,3,Graduate Degree,Clerical,1,0
21.98,00:00.0,00:00.0,M,75001-100000,M,5,High School,Management,1,4
2322.96,00:00.0,00:00.0,M,greater than 100000,F,4,Bachelors ,Management,1,4
217.52,00:00.0,00:00.0,S,0-25000,F,0,Partial College,Manual,0,0
782.99,00:00.0,00:00.0,S,0-25000,F,2,Partial High School,Clerical,1,2
0.01,00:00.0,00:00.0,M,75001-100000,F,4,High School,Professional,1,2
61,00:00.0,00:00.0,M,25001-50000,F,2,Partial College,Clerical,0,2
19,00:00.0,00:00.0,M,greater than 100000,F,0,Partial High School,Professional,0,4
3578.27,00:00.0,00:00.0,M,25001-50000,F,1,Partial College,Clerical,1,1
1711.49,00:00.0,00:00.0,M,50001-75000,F,1,Bachelors ,Professional,1,1
2443.35,00:00.0,00:00.0,M,50001-75000,F,1,Partial College,Skilled Manual,1,1
505,00:00.0,00:00.0,S,25001-50000,F,0,High School,Manual,1,1
30,00:00.0,00:00.0,S,0-25000,M,0,Partial High School,Manual,0,2
155.01,00:00.0,00:00.0,S,greater than 100000,F,4,High School,Management,0,3
1524.7236,00:00.0,00:00.0,S,0-25000,F,3,High School,Manual,1,0
14.03,00:00.0,00:00.0,S,0-25000,F,4,High School,Skilled Manual,1,2
16.98,00:00.0,00:00.0,S,25001-50000,F,0,Partial College,Skilled Manual,1,2
248.5708,00:00.0,00:00.0,S,75001-100000,F,2,High School,Skilled Manual,1,2
5,00:00.0,00:00.0,M,25001-50000,F,3,Partial College,Clerical,0,0
1268.3,00:00.0,00:00.0,M,25001-50000,F,1,Partial College,Clerical,1,1
1.6,00:00.0,00:00.0,M,25001-50000,F,2,High School,Skilled Manual,1,2
31,00:00.0,00:00.0,S,0-25000,M,4,High School,Manual,1,2
2262.98,00:00.0,00:00.0,S,25001-50000,F,0,High School,Skilled Manual,0,2
480.575,00:00.0,00:00.0,M,75001-100000,F,1,Graduate Degree,Management,1,1
2408.36,00:00.0,00:00.0,S,75001-100000,F,2,High School,Skilled Manual,0,2
2393.8275,00:00.0,00:00.0,M,0-25000,F,1,Partial College,Manual,1,0
539.99,00:00.0,00:00.0,S,greater than 100000,F,1,High School,Professional,1,4
4.99,00:00.0,00:00.0,M,25001-50000,F,4,High School,Skilled Manual,1,2
2273.01,00:00.0,00:00.0,S,0-25000,F,4,High School,Skilled Manual,1,2
2.7,00:00.0,00:00.0,M,50001-75000,F,5,Partial College,Skilled Manual,1,2
17.5,00:00.0,00:00.0,S,0-25000,F,4,High School,Skilled Manual,1,2
25,00:00.0,00:00.0,S,50001-75000,M,2,Bachelors ,Professional,0,1
2388.49,00:00.0,00:00.0,S,50001-75000,F,2,Bachelors ,Skilled Manual,1,1
3623.3,00:00.0,00:00.0,M,greater than 100000,F,3,High School,Professional,1,2
4685.05,00:00.0,00:00.0,S,75001-100000,F,5,Bachelors ,Professional,1,4
1261.3,00:00.0,00:00.0,M,25001-50000,F,1,High School,Clerical,1,1
769.4896,00:00.0,00:00.0,S,50001-75000,F,2,Graduate Degree,Management,1,1
32.5,00:00.0,00:00.0,S,0-25000,F,0,High School,Manual,0,1
1741.02,00:00.0,00:00.0,S,25001-50000,F,2,Partial College,Clerical,1,1
1316.535,00:00.0,00:00.0,S,50001-75000,F,2,Partial High School,Skilled Manual,1,2
32.01,00:00.0,00:00.0,M,50001-75000,F,1,Bachelors ,Professional,1,1
25.5,00:00.0,00:00.0,M,75001-100000,F,4,High School,Professional,1,2
1205.86,00:00.0,00:00.0,M,0-25000,F,2,High School,Manual,1,1
4,00:00.0,00:00.0,M,greater than 100000,F,1,Bachelors ,Management,1,1
543.99,00:00.0,00:00.0,S,25001-50000,M,0,Graduate Degree,Clerical,1,0
3518.82,00:00.0,00:00.0,M,50001-75000,F,1,Partial College,Skilled Manual,1,1
4.99,00:00.0,00:00.0,M,75001-100000,F,5,Partial High School,Skilled Manual,0,2
2.7,00:00.0,00:00.0,M,50001-75000,F,2,High School,Professional,0,2
312.6508,00:00.0,00:00.0,M,75001-100000,F,4,Graduate Degree,Professional,1,0
258.5608,00:00.0,00:00.0,S,0-25000,F,1,High School,Manual,0,1
2071.4192,00:00.0,00:00.0,S,50001-75000,F,0,Graduate Degree,Professional,0,1
17.95,00:00.0,00:00.0,S,0-25000,F,2,High School,Manual,1,1
13.98,00:00.0,00:00.0,M,75001-100000,F,5,Graduate Degree,Management,1,3
3514.8318,00:00.0,00:00.0,M,25001-50000,F,0,Graduate Degree,Clerical,1,0
1085.5,00:00.0,00:00.0,S,25001-50000,M,2,Bachelors ,Management,1,1
61,00:00.0,00:00.0,M,50001-75000,F,5,Partial College,Skilled Manual,1,2
535.99,00:00.0,00:00.0,S,25001-50000,F,4,High School,Skilled Manual,1,3
738.84,00:00.0,00:00.0,M,25001-50000,F,1,Bachelors ,Skilled Manual,1,0
16,00:00.0,00:00.0,M,75001-100000,M,5,Bachelors ,Management,1,2
226.32,00:00.0,00:00.0,M,greater than 100000,M,4,Bachelors ,Management,1,3
535.99,00:00.0,00:00.0,S,greater than 100000,M,2,High School,Management,1,4
37.7,00:00.0,00:00.0,M,greater than 100000,M,4,Bachelors ,Management,1,3
29.99,00:00.0,00:00.0,S,75001-100000,M,0,Partial College,Professional,1,2
2773.8,00:00.0,00:00.0,M,greater than 100000,M,0,Partial College,Management,0,3
1726.99,00:00.0,00:00.0,M,25001-50000,M,0,Bachelors ,Professional,1,0
3008.29,00:00.0,00:00.0,M,25001-50000,M,3,Partial College,Skilled Manual,1,2
20.5,00:00.0,00:00.0,M,0-25000,M,2,High School,Manual,1,2
2983.3,00:00.0,00:00.0,M,25001-50000,M,2,Partial College,Clerical,0,2
16.95,00:00.0,00:00.0,M,25001-50000,F,3,Partial College,Professional,1,2
2444.95,00:00.0,00:00.0,S,75001-100000,M,2,High School,Skilled Manual,0,2
31,00:00.0,00:00.0,S,0-25000,M,1,Graduate Degree,Manual,0,0
928.6064,00:00.0,00:00.0,M,25001-50000,M,2,Partial College,Clerical,1,1
1085.5,00:00.0,00:00.0,M,50001-75000,M,2,High School,Skilled Manual,1,2
2349.0818,00:00.0,00:00.0,M,greater than 100000,M,2,Bachelors ,Management,1,3
24.99,00:00.0,00:00.0,S,25001-50000,M,0,Partial College,Clerical,1,1
20,00:00.0,00:00.0,S,greater than 100000,M,0,Bachelors ,Management,0,4
1329.07,00:00.0,00:00.0,M,75001-100000,M,1,Graduate Degree,Management,1,0
563.18,00:00.0,00:00.0,S,75001-100000,M,0,Bachelors ,Professional,1,2
3578.27,00:00.0,00:00.0,M,0-25000,M,0,High School,Manual,1,2
1.7,00:00.0,00:00.0,S,greater than 100000,M,5,High School,Management,0,4
30,00:00.0,00:00.0,M,25001-50000,M,4,High School,Skilled Manual,0,3
4718.05,00:00.0,00:00.0,S,50001-75000,M,0,Bachelors ,Professional,0,2
21,00:00.0,00:00.0,M,75001-100000,M,5,Partial College,Professional,0,2
45.5,00:00.0,00:00.0,S,0-25000,M,1,Graduate Degree,Clerical,1,0
2.48,00:00.0,00:00.0,M,25001-50000,F,3,Partial College,Professional,1,2
1085.5,00:00.0,00:00.0,S,25001-50000,M,3,Partial College,Clerical,1,2
16,00:00.0,00:00.0,M,0-25000,M,4,High School,Skilled Manual,1,2
1666,00:00.0,00:00.0,S,25001-50000,M,2,Partial College,Clerical,1,0
200.955,00:00.0,00:00.0,S,50001-75000,M,0,Partial College,Skilled Manual,0,2
1066.5,00:00.0,00:00.0,M,0-25000,M,1,Partial College,Manual,1,0
12.5,00:00.0,00:00.0,M,greater than 100000,M,4,High School,Management,1,3
9.98,00:00.0,00:00.0,S,0-25000,M,0,Partial High School,Manual,0,2
564.99,00:00.0,00:00.0,S,greater than 100000,M,4,Bachelors ,Management,0,3
2299.99,00:00.0,00:00.0,M,75001-100000,M,4,Graduate Degree,Skilled Manual,1,0
1125.93,00:00.0,00:00.0,S,greater than 100000,M,0,Partial College,Management,1,3
2330.08,00:00.0,00:00.0,M,greater than 100000,F,3,Bachelors ,Management,1,3
86.46,00:00.0,00:00.0,M,25001-50000,M,3,High School,Skilled Manual,0,2
1666,00:00.0,00:00.0,S,0-25000,F,3,High School,Manual,1,1
1509.1064,00:00.0,00:00.0,S,0-25000,M,0,Partial College,Manual,1,1
1143.81,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Clerical,1,0
2071.4192,00:00.0,00:00.0,S,25001-50000,M,0,Bachelors ,Clerical,1,0
30,00:00.0,00:00.0,M,50001-75000,M,5,Bachelors ,Professional,1,3
113.425,00:00.0,00:00.0,S,greater than 100000,M,2,Bachelors ,Management,1,3
2350,00:00.0,00:00.0,M,50001-75000,F,5,Graduate Degree,Management,1,2
5,00:00.0,00:00.0,S,50001-75000,M,1,Partial College,Skilled Manual,1,1
1066.5,00:00.0,00:00.0,S,75001-100000,M,4,Graduate Degree,Management,1,0
4,00:00.0,00:00.0,M,0-25000,M,1,Partial College,Manual,1,0
69.99,00:00.0,00:00.0,M,25001-50000,M,0,High School,Skilled Manual,1,1
43.32,00:00.0,00:00.0,S,50001-75000,F,2,Bachelors ,Skilled Manual,1,1
2375.08,00:00.0,00:00.0,S,25001-50000,M,1,Bachelors ,Clerical,0,0
4744.0504,00:00.0,00:00.0,S,50001-75000,M,0,Bachelors ,Professional,0,1
480.575,00:00.0,00:00.0,M,50001-75000,M,1,Partial College,Skilled Manual,1,1
6.01,00:00.0,00:00.0,S,25001-50000,M,2,Partial College,Clerical,1,1
20,00:00.0,00:00.0,M,75001-100000,M,5,Partial College,Professional,1,3
160.55,00:00.0,00:00.0,M,50001-75000,M,2,Graduate Degree,Professional,1,0
25,00:00.0,00:00.0,S,50001-75000,M,4,Bachelors ,Professional,1,3
756.48,00:00.0,00:00.0,S,0-25000,M,0,Partial High School,Manual,0,2
531,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Clerical,1,0
8.99,00:00.0,00:00.0,S,75001-100000,M,4,High School,Professional,1,2
1301.9292,00:00.0,00:00.0,S,50001-75000,M,1,Partial College,Skilled Manual,0,1
8.98,00:00.0,00:00.0,M,0-25000,M,4,High School,Manual,0,1
1339.06,00:00.0,00:00.0,S,50001-75000,M,3,Bachelors ,Professional,1,2
1730.49,00:00.0,00:00.0,S,50001-75000,M,2,Bachelors ,Professional,1,1
26.69,00:00.0,00:00.0,S,25001-50000,M,0,High School,Manual,0,1
2410.07,00:00.0,00:00.0,M,25001-50000,M,0,Partial College,Clerical,0,1
4.99,00:00.0,00:00.0,S,25001-50000,M,0,Partial College,Clerical,0,1
